photon_pt,photon_eta,photon_phi,photon_E,photon_isTightID,photon_etcone20,myy
[43503.676 33069.723],[-0.09438314  0.14435363],[-2.7384489  0.6430926],[43697.59  33414.875],[ True  True],[-805.06885 -675.99066],75.8588887741028
[66953.195 52163.344],[-0.38932773  0.3353526 ],[-0.08730574 -2.9938436 ],[72091.87  55124.117],[ True  True],[-753.4944 2052.269 ],125.27469120445001
[81363.21  35330.367],[-2.3569803 -2.2189791],[-2.4541278  1.1054503],[433410.6 164403.8],[ True  True],[974.4048 311.4533],105.15807689729422
[59483.344 47905.957],[-0.06099864 -0.78679234],[ 2.561978  -2.8868454],[59594.043 63514.746],[ True  True],[3511.0747   241.11224],58.64727490732035
[43045.957 37770.15 ],[2.104654  2.3612115],[ 0.17169829 -3.008241  ],[179203.6  202034.34],[ True  True],[ 360.9455  -175.11499],81.29341424351
[91145.63  44970.758],[-1.0076274 -1.7163353],[ 1.0256789 -1.4027835],[141466.16  129152.055],[ True  True],[ 81.9895  205.18153],128.6245009350435
[65759.3   63454.133],[-1.2643826  0.2675348],[ 1.4152014 -1.8240054],[125709.4   65738.57],[ True  True],[-398.53198  998.6097 ],168.8630306532505
[46477.67  36352.953],[-0.7120768  -0.08466589],[ 3.038202  -0.5627451],[58767.39  36483.324],[ True  True],[ 76.97104 845.5632 ],84.23371680663288
[51132.652 37004.53 ],[-0.43272042 -0.12705767],[ 2.0880527  -0.87998736],[55995.035 37303.63 ],[ True  True],[ 716.7062 1798.7009],87.69192024460698
[52733.31 45099.34],[1.0880127 1.5823406],[-1.9569361   0.75963557],[ 87148.5  114368.01],[ True  True],[-967.7893  -257.24304],98.40142419511926
[61596.21 31954.16],[-0.6214074 -0.6947222],[ 1.4156328 -1.3213313],[73876.46  39980.496],[ True  True],[383.3202    54.424683],86.98117911453815
[46580.254 36117.63 ],[0.6866921 0.560637 ],[-1.1966003  1.8923513],[58001.02  41944.004],[ True  True],[ 326.40558 2293.8958 ],82.16799984549289
[156904.14   82039.664],[-0.9229589 -0.6865457],[-1.8344605  2.2226336],[228614.64  102145.625],[ True  True],[  53.925995 -406.98917 ],205.31969336436276
[70132.516 43749.184],[ 0.9153796 -1.1778487],[-0.8013598  2.0525148],[101625.09   77771.195],[ True  True],[  847.67773 -1690.6597 ],176.4913117874695
[60602.266 33503.812],[-0.9931517  -0.11422433],[ 0.8673951  -0.10652797],[93028.64  33722.617],[ True  True],[1051.9268   311.29694],58.74117178010524
[52647.56  30688.543],[1.6854601 2.2537224],[-2.0938754   0.81347275],[146894.36 147736.6 ],[ True  True],[-1578.4062   729.4738],83.12868481265046
[62238.594 44483.695],[2.2227774 1.9263718],[ 1.214282  -2.1004555],[290693.03 155920.58],[ True  True],[ 295.09814 1780.3325 ],106.00314887078909
[40285.773 34288.598],[2.0517778  0.43222976],[-1.6837455  1.3532403],[159334.86   37541.715],[ True  True],[-159.37448 -451.763  ],99.98984505502882
[77831.05 57648.26],[-1.3553761 -0.6683185],[-0.6478549 -3.1411016],[160957.31  71008.93],[ True  True],[ 495.5526  -180.47116],135.38476740560705
[60912.96 45897.55],[ 0.17716919 -2.1059992 ],[ 0.7710846 -2.1821818],[ 61871.46 191324.67],[ True  True],[ 126.554535 -114.24127 ],182.20222726052302
[57953.15 31578.01],[1.7050756 2.0252314],[-2.5143046 -0.9800714],[164690.11 121730.5 ],[ True  True],[ 552.7572 -487.6794],60.954834109813795
[41220.582 30354.598],[ 0.47353563 -0.3785699 ],[ 0.10174102 -2.8591628 ],[45929.16  32555.836],[ True  True],[ 217.50645 1333.9454 ],77.00010977202007
[46266.73  42224.266],[-0.6608841 -0.8308421],[-1.1031369  2.1037312],[56743.79 57655.82],[ True  True],[3868.6611 -577.301 ],88.67107960233801
[40513.324 30444.4  ],[0.27395397 1.0068781 ],[ 1.814945  -1.4486345],[42043.133 47225.367],[ True  True],[ 591.3695  -634.36523],74.8868264431699
[70173.66 39362.97],[-1.3237165  1.2024466],[-1.714045   1.6099141],[141172.    71418.36],[ True  True],[  -43.82263 -1021.7516 ],200.49141515767374
[53135.703 39489.355],[1.2128125  0.57749563],[0.8519798 2.3378174],[97246.03 46259.28],[ True  True],[-1223.1526  3653.2778],68.67521260584252
[43693.77  39363.445],[-0.19396773 -0.27393392],[ 1.7114692 -2.151953 ],[44518.305 40849.617],[ True  True],[-354.57684 -455.63715],77.67137297317028
[56611.   38027.93],[2.1528535  0.56228524],[ 2.029906  -1.1647834],[246980.84  44199.54],[ True  True],[ 366.89853 2505.1436 ],123.69751685757255
[59964.52 44662.65],[-0.9927653 -2.1154306],[ 1.8262987 -2.7015135],[ 92022.67 187889.89],[ True  True],[1157.1874  -334.47775],100.42249172379209
[43816.707 31373.646],[-0.5154218  2.3000157],[-0.4785797  2.7079961],[ 49766.867 158038.4  ],[ True  True],[-674.30334  527.7812 ],160.58298853243346
[42188.68 35153.41],[0.1822757  0.14410709],[ 2.5950634 -0.7218927],[42891.47  35519.055],[ True  True],[ 629.445  3570.0667],76.73964537546976
[45608.223 30716.908],[-1.8741528  1.637949 ],[-1.8945595  1.4619875],[152075.64  81998.56],[ True  True],[3025.208 1449.419],223.01777293721983
[45350.953 36714.445],[1.1669518 1.009612 ],[ 2.2203596 -0.9361711],[79897.055 57070.7  ],[ True  True],[-489.79172  -100.621124],81.86007245853594
[47950.11  42401.598],[ 0.3631189 -2.1083245],[-0.44078428  2.8413308 ],[ 51146.24 177151.22],[ True  True],[-228.82446  311.14203],168.13574893481336
[49463.684 45842.15 ],[-0.6621461  -0.48368064],[-2.2724993   0.93015593],[60709.062 51309.824],[ True  True],[  99.309875 1480.1573  ],95.57220855288493
[48989.18 34836.2 ],[0.9560159 1.82821  ],[ 1.8246666 -1.1556478],[ 73134.31  111187.375],[ True  True],[  37.884613 3185.1729  ],90.35904162440224
[43881.098 33218.824],[1.8407489  0.55397445],[ 1.2765256 -1.3838586],[141734.94   38447.746],[ True  True],[1465.1127  -263.97382],90.91322124517951
[43710.81  32242.664],[0.29792923 2.0750656 ],[ 2.86009    -0.37974536],[ 45665.125 130431.52 ],[ True  True],[1388.524     74.49309],106.66222551740142
[137530.56   54931.426],[-0.7694093 -0.5423903],[ 0.09382195 -3.0261614 ],[180287.27   63211.527],[ True  True],[ -252.50848 -1122.7698 ],174.94713943372255
[44487.44 35824.63],[1.67993   1.7828735],[1.0987054 1.4206733],[123487.516 109535.14 ],[ True  True],[1709.8779  816.8755],13.442350844835762
[42149.504 30756.527],[0.34767392 0.31170893],[ 2.5789013  -0.84398687],[44722.723 32262.855],[ True  True],[ -44.918243 1484.6035  ],71.31102781104386
[62395.438 39142.066],[-0.8151883  1.9018029],[0.670293  3.1202908],[ 84301.13 134007.92],[ True  True],[-1271.6865    -83.92581],202.20515631845137
[68584.945 65940.11 ],[-1.0334294 -1.2312467],[ 1.319768  -1.8859671],[108586.19  122563.734],[ True  True],[-851.8297  -629.91986],135.0886565911579
[79402.664 44580.242],[2.3535085 0.7274794],[ 1.7484694 -1.1163136],[421527.22   56906.277],[ True  True],[1505.2517 -929.5913],159.69168773475346
[41010.47  39483.008],[1.2904506 0.3900574],[-2.7970026  2.6793976],[80166.664 42524.85 ],[ True  True],[-124.1087 1388.5818],49.00856754817503
[42395.48 36147.71],[-0.9166264  1.3470873],[-0.486505   2.4777555],[61488.39  74214.914],[ True  True],[1280.6266  623.2776],133.854323431311
[46202.73  41399.043],[-1.6914583   0.18697841],[-2.011539   1.1880974],[129636.555  42124.83 ],[ True  True],[ -98.07684 1145.4324 ],128.9457363835135
[80387.36  70161.164],[-0.45022586  1.0720338 ],[ 0.270968  -3.0429351],[ 88673.31  114489.914],[ True  True],[1220.0117 1072.6938],195.42228910040606
[69734.22 49125.91],[1.5585984 1.7585458],[-2.0060987  0.9688917],[173031.06 146795.25],[ True  True],[2689.6055 2853.7324],117.24155944911435
[61760.63  49258.004],[-0.93412876 -1.5711421 ],[ 2.7252843 -0.4601444],[ 90723.99 123636.32],[ True  True],[2663.5388 2647.3103],115.93002919430677
[83274.14 38919.69],[-0.5902947 -0.3630165],[2.6001213 2.0172665],[98208.695 41512.414],[ True  True],[-621.69507  945.18536],35.19020136542019
[158512.47 154531.92],[-0.5748765  0.9501863],[ 2.6840823  -0.45801592],[185434.66 229700.92],[ True  True],[-259.79852  257.9167 ],408.5180522572921
[59261.99  44587.438],[-0.13843203 -2.3127837 ],[-1.9058897  1.049411 ],[ 59830.727 227429.22 ],[ True  True],[ 938.49646 3071.7751 ],169.51966124507845
[170618.75  60547.35],[-1.3379781  -0.37071767],[ 2.1769423 -1.6143975],[347525.25   64755.777],[ True  True],[ 548.9121  -373.08652],218.07040170829637
[46531.344 46139.37 ],[0.8251725 1.6207299],[-1.9799432  0.919877 ],[ 63292.72 121220.45],[ True  True],[645.8401   119.876236],99.47277090518618
[55020.902 50221.086],[1.1852866 1.8160676],[-2.8438895   0.36973712],[ 98412.67 158455.06],[ True  True],[361.92313 140.11584],110.33988165186233
[42232.695 33120.25 ],[-0.20282173  1.2267199 ],[ 2.4455597 -2.5476246],[43104.332 61326.758],[ True  True],[1473.2792  -356.57523],73.4979570612861
[62167.438 53820.45 ],[-1.8448766 -1.9903301],[0.29326916 0.496781  ],[201589.23 200604.94],[ True  True],[ 120.21915 -332.04617],14.45758424969947
[61635.12 42073.71],[-0.47526586  0.8462594 ],[-0.98567694  2.1102102 ],[68728.14 58060.21],[ True  True],[ 516.0061 3074.7449],124.88006979899846
[52322.93 44719.56],[-0.23669131  0.89681166],[ 0.89100975 -1.2418524 ],[53795.42  63940.953],[ True  True],[-116.261566  955.48145 ],102.54760064650516
[46562.938 42165.055],[-0.31737673  0.5689755 ],[ 0.95245945 -2.177861  ],[48927.785 49176.293],[ True  True],[ 637.45776 -472.91837],97.46363116353757
[48296.11  41972.152],[-1.0207365  -0.31094754],[ 1.2927837  -0.03468779],[75717.85  44017.664],[ True  True],[ 418.43774 2919.5276 ],64.36036965827833
[68252.72  37473.895],[-1.7994602  -0.78240246],[-1.4923506  1.5725262],[211985.12   49540.965],[ True  True],[2380.1846 1107.5305],114.44433732964067
[51148.336 32067.146],[-0.30729985 -0.22753212],[-2.9658914  0.9856568],[53582.453 32900.805],[ True  True],[-554.3861  673.6611],74.51653990612232
[43989.07 39841.65],[-1.9689399 -2.2474763],[-2.6332402  0.5299779],[160619.12 190632.08],[ True  True],[ 549.4332 2062.874 ],84.53638943725993
[61230.344 31724.266],[-0.8893193 -1.5541878],[ 0.12890644 -3.0089526 ],[87082.04 78400.23],[ True  True],[1102.96    -130.31244],93.06288936748663
[42756.887 31898.625],[0.6542226 0.9409025],[-2.9035628  -0.48997197],[52238.066 47091.434],[ True  True],[2117.3083 1823.8834],69.83501568416983
[42355.99  31036.729],[0.9816022 1.2695282],[ 2.4297853  -0.40144175],[64453.93  59592.645],[ True  True],[1145.4025   922.60254],72.40500844400546
[152509.36   30990.018],[ 0.68758327 -1.6126343 ],[-2.7504642  1.5726746],[190003.23   80812.195],[ True  True],[3022.791   -185.00452],226.30036284107723
[46180.688 33420.34 ],[-1.684136   -0.25799555],[-0.7679687  2.48975  ],[128691.695  34538.78 ],[ True  True],[1326.2517 2302.9065],99.30348760686732
[66315.516 58982.91 ],[1.0495545 0.8468182],[-1.4219398  1.8548613],[106319.42  81425.66],[ True  True],[1939.6744     13.277618],125.44262656870976
[43243.465 39495.22 ],[ 0.18047532 -1.7139763 ],[ 1.0358716 -2.2489297],[ 43949.63 113176.27],[ True  True],[ 574.6035  -359.20618],122.447749236484
[51191.848 48187.56 ],[ 2.3262908 -0.4552254],[-1.38225    1.7421335],[264599.06  53267.34],[ True  True],[631.208   211.18677],211.91648632953806
[80462.516 40987.734],[0.60702765 0.97406363],[-3.009242   0.4841587],[95747.875 62019.188],[ True  True],[-571.96497 3042.6416 ],115.05306737269865
[46770.625 32986.05 ],[-0.58632404 -1.3318651 ],[-2.1101117  0.5087741],[55042.9   66831.164],[ True  True],[-950.0353 2311.9207],81.59099348125591
[63418.902 37161.574],[ 1.2097033 -1.7910558],[ 1.5595495 -1.6309053],[115764.09 114505.28],[ True  True],[-502.2085 1857.6677],228.46788896637872
[53685.69  46649.984],[-1.9998327  1.217033 ],[-0.05920809  2.2549782 ],[201943.52   85678.766],[ True  True],[ 932.9834 2504.8887],256.85698833275814
[110459.445  79462.14 ],[-0.00985574 -0.40157723],[ 2.3953948  -0.08495498],[110464.81   85955.914],[ True  True],[-887.71716 -238.4137 ],181.03458987477342
[52854.402 33196.117],[0.11099589 0.94220597],[ 0.69962907 -2.8508043 ],[53180.32  49053.934],[ True  True],[-412.07578 -552.8109 ],89.51366353523055
[50780.06 41239.04],[-0.68234664  0.21197969],[-2.407267   0.5568088],[63067.43 42169.06],[ True  True],[-1550.7817    481.96164],100.49994672734802
[45668.82  35449.297],[-2.1683252 -1.1598717],[-1.3631262  1.9884421],[202267.12   62090.336],[ True  True],[931.555   479.36475],90.52820215437376
[43834.37  43278.395],[ 0.9343108  -0.28108084],[3.0314398 1.9448371],[64399.598 44999.316],[ True  True],[3056.016  -462.2827],72.06057193744269
[46053.6   43934.703],[-0.6128638  -0.82679576],[-2.929943    0.17210363],[54976.64  59826.562],[ True  True],[-183.34634 2901.9995 ],90.46102878894153
[41690.734 31981.787],[0.43997353 0.9864429 ],[ 3.1278472  -0.24656351],[45791.426 48845.453],[ True  True],[-439.0371 3971.5938],75.29682541798175
[60445.09 55092.63],[ 0.26797947 -1.3506894 ],[-1.378555  1.779774],[ 62628.48 113467.33],[ True  True],[  -82.91147 -1941.7444 ],155.31879246442435
[153291.52 116969.91],[-1.7977568 -0.9779648],[-0.74751383  2.299312  ],[475338.75 177508.55],[ True  True],[948.29553 465.86774],290.34738320722585
[43489.16 40414.97],[-0.52541906 -0.7780489 ],[1.3978102 1.9069464],[49631.457 53277.465],[ True  True],[1208.4679   655.45795],23.63519247507297
[43730.266 40337.85  30555.268],[2.334829  2.1788456 1.8788135],[ 0.33991134 -2.1337466   2.433815  ],[227933.55  180497.22  102337.305],[ True  True False],[1188.1267  -126.16492 -213.96901],79.6290329679118
[94696.15 57643.38],[-1.1290243  -0.23833983],[ 1.2075082 -1.8730719],[161740.36   59288.387],[ True  True],[483.1546   53.97821],162.5991655291099
[56931.41  31796.836],[-1.6715826  0.9018579],[ 2.6101654 -2.2700863],[156804.22   45628.332],[ True  True],[-1006.5687   -142.42581],152.53509776375208
[40067.66 35698.96],[-1.0569583  -0.69944096],[2.6149628 2.9305346],[64611.43  44793.098],[ True  True],[-507.43723 1057.4999 ],18.056904971292035
[53600.    37993.996],[-1.1497408 -0.5494526],[ 2.8120391  -0.42926115],[93105.7   43874.902],[ True  True],[872.8462  376.94495],94.24343529385254
[44751.992 31441.578],[-0.62501746  1.260443  ],[ 0.89183336 -1.8411826 ],[53781.395 59904.254],[ True  True],[-1392.6161 -1313.6243],109.85351290173524
[76743.24  56983.785],[ 0.5649076 -0.4312114],[2.7572925 2.1141267],[89317.54  62364.266],[ True  True],[-115.69855   33.97577],80.35929215315888
[54869.715 34369.234],[-0.5612576  -0.19661802],[ 1.86325  -1.675121],[63741.234 35035.71 ],[ True  True],[3284.5542 3842.3425],86.62469325041266
[56641.445 33549.492],[-0.2823485  1.2195914],[-1.5195215  1.18623  ],[58914.23  61750.438],[ True  True],[537.45996 775.88226],111.36216630940908
[111850.85  95199.06],[0.34369835 0.9265037 ],[ 1.9093709 -1.2521478],[118522.53 139066.73],[ True  True],[-76.16705 407.45673],215.19397991749992
[47020.027 33193.953],[0.42340374 0.14439434],[ 2.4335353  -0.33096662],[51298.027 33540.598],[ True  True],[3594.2344 1568.8013],78.39701783600154
[49884.19  47065.074],[-1.6113126 -0.6150472],[ 0.8910209 -2.3624759],[129923.57  56251.22],[ True  True],[-511.80646  262.91824],109.0475798551944
[95001.17  43289.855],[0.35305777 1.1712238 ],[2.0861897 2.998975 ],[100983.87  76534.85],[ True  True],[2259.93    -914.56396],78.1351278630893
[50503.797 31079.838],[ 1.1984264 -1.0355035],[ 0.8658459 -2.8196278],[91325.13  49285.965],[ True  True],[-1356.2186    669.30347],132.32328610784856
[132740.16  37359.96],[-0.14351057 -0.13753438],[-2.624338    0.19305794],[134109.42   37713.863],[ True  True],[-1754.5212 -1113.2896],138.997013228797
[59655.477 41449.402],[-1.2377517  -0.73214734],[ 2.3193653 -0.8151072],[111492.766  53063.867],[ True  True],[-895.69073 1101.2756 ],102.64645994699032
[60019.457 40763.812],[1.6774751 1.3161029],[-0.47060716  0.43205068],[166220.    81467.28],[ True  True],[ 826.95856 2944.6873 ],46.74125052111141
[67984.445 42080.36 ],[ 1.5283506 -1.9077507],[-1.361175   1.9570744],[164096.06 144889.62],[ True  True],[1557.5662  550.7868],307.56700033692346
[51145.953 43045.355],[0.68449616 1.1076207 ],[ 1.414153  -1.4517581],[63602.98 72262.2 ],[ True  True],[ 3038.0117 -2168.045 ],95.07994307320007
[42903.82  41302.598],[2.0661554 1.9771665],[-0.66896266 -0.9117757 ],[172067.61 152008.23],[ True  True],[-257.16437  795.3762 ],10.86266391106135
[50294.707 35464.004],[1.3558383 1.5614507],[-1.9235222  1.5422648],[104053.3    88226.664],[ True  True],[ 364.00208 -408.45453],83.8120135294647
[47371.688 42536.664],[ 1.6190448e+00 -9.9435565e-04],[-1.5381489  1.4279034],[124264.31   42536.684],[ True  True],[3060.66     163.30707],120.62104738819033
[58440.76  52963.164],[-0.6643967  -0.49053213],[ 2.3014922 -0.9367064],[71820.82  59464.008],[ True  True],[-437.58038 2200.029  ],111.56059343425608
[54242.42 36850.16],[1.7443763 0.7131913],[-0.5078445  2.2683866],[159936.1   46625.96],[ True  True],[   5.970215 2483.1064  ],100.260161227223
[71969.445 41169.484],[-2.0915506  -0.61644024],[-2.184875    0.57535166],[295828.84   49242.516],[ True  True],[3704.9673 -596.7363],138.31310340909897
[59397.7   31014.135],[-0.2298598 -1.5502619],[ 1.1141971 -1.9092164],[60973.773 76370.7  ],[ True  True],[3938.1914  372.9779],105.11580101389686
[176724.78   33320.652],[0.9363968  0.12041588],[ 0.5991422 -1.2787577],[260033.88  33562.52],[ True  True],[-711.82684  328.1176 ],139.57291496968915
[54287.72  36211.695],[-0.04548636 -0.5868696 ],[ 1.799771  -1.1161386],[54343.89  42628.684],[ True  True],[ 418.56238 2319.1873 ],91.40073146037732
[44415.082 31680.182],[ 1.6420454  -0.23165442],[ 2.4655135 -1.1693189],[119017.055  32534.03 ],[ True  True],[ 702.0942 3263.308 ],108.89516544411393
[41914.953 33153.473],[-1.842945  -1.3390744],[-2.262664   0.9402049],[135667.38  67593.27],[ True  True],[1447.0153 2119.5334],76.9001249352138
[52278.59  44554.266],[-0.64676887 -0.49359477],[ 2.2712417  -0.47139543],[63599.434 50092.867],[ True  True],[-669.95685  198.05988],94.89915566813593
[73489.234 31056.076],[-1.1086831 -1.8686891],[-0.18618478  2.7163699 ],[123475.08 103014.9 ],[ True  True],[3091.8777 3638.977 ],101.89363672044976
[42482.7  38321.31],[ 2.2540286 -1.7862527],[-2.4484775   0.56109154],[204575.66  117543.664],[ True  True],[1173.2233 1472.8761],309.50796093057573
[69936.03  60663.438],[-1.3540561  -0.32970366],[ 2.659344  -0.6971663],[144463.17  63990.61],[ True  True],[ 343.315   -233.42407],147.07100691860242
[81568.9 32305.3],[0.8625781 0.9763122],[-2.6911752  1.2435509],[113843.     48964.273],[ True  True],[1613.7297 -719.6585],94.87891330207411
[51592.14  39231.332],[ 0.55321646 -0.7311416 ],[-1.6674453  1.8635122],[59690.402 50192.766],[ True  True],[-447.32568 3197.7556 ],107.781566619415
[52860.73  43536.324],[-0.89958537 -1.0762666 ],[ 0.8415751 -2.1678777],[75731.5  71281.42],[ True  True],[1057.5182  -379.03558],96.11113165315345
[61190.625 56047.742],[-0.42015183  1.0680298 ],[-1.3026848  1.9302791],[66671.46 91170.79],[ True  True],[-194.07162 -517.70404],150.97921449599374
[51082.414 39047.33 ],[ 0.05758614 -0.31314185],[-0.7134981 -2.715514 ],[51167.137 40977.473],[ True  True],[  29.149384 1444.8113  ],77.03237721150568
[86645.78 76104.17],[-2.040283   -0.12631425],[2.9520302  0.14739329],[338905.34  76712.11],[ True  True],[-879.422   -287.53754],241.09503927863759
[40438.434 32555.73 ],[ 1.7386361 -1.5813847],[ 1.3839527 -2.1761909],[118592.55   82486.016],[ True  True],[1607.3547 1207.069 ],197.15222800251743
[60679.85  51652.926],[1.6024077 1.0572436],[-1.0343395  2.174395 ],[156747.69   83311.984],[ True  True],[3942.8313 2206.136 ],116.09422806622646
[68015.33  36149.508],[1.7710718 0.529201 ],[-0.5139619  -0.13414645],[205654.53   41330.652],[ True  True],[530.9799 798.8749],68.23118603690533
[237436.52 196263.34],[1.8075935 1.5757468],[-2.6366305   0.15341921],[743153.56 494701.72],[ True  True],[813.73846   57.974792],428.03794481728715
[54207.375 46378.895],[1.0857551 1.8554746],[-2.0764084  -0.21513349],[ 89423.8  151916.64],[ True  True],[-559.6781   162.57245],89.62584594286706
[53081.63 37602.96],[0.23341595 0.5818421 ],[2.6872919 2.1551642],[54534.23  44149.625],[ True  True],[-283.53094  659.8609 ],28.22701301407123
[43917.92  36939.934],[0.88591886 0.64212096],[ 2.8364737  -0.32429707],[62309.582 44820.75 ],[ True  True],[-608.2388 1898.5618],81.1517617736328
[53157.83  31193.008],[-0.320494  -0.8131742],[-3.030601  -2.4380374],[55911.367 42087.21 ],[ True  True],[ 719.551   -448.33917],31.24241915010139
[54190.125 43053.81 ],[0.14408424 0.5375773 ],[-1.1408376  2.368696 ],[54753.6  49426.12],[ True  True],[305.97363 144.12961],96.88132057032345
[101940.84  83826.92],[0.7077662  0.14960726],[1.0322863 3.1337292],[128557.414  84766.8  ],[ True  True],[-1158.7766   -834.00256],168.7375106601907
[52114.016 51870.605],[-1.1803916  1.7148219],[-1.4153044  1.6558566],[ 92836.09 148756.64],[ True  True],[1106.6768  684.2231],233.31504950090775
[55510.566 44092.707],[-0.01226056 -0.0355049 ],[2.3666484 2.9894896],[55514.74 44120.5 ],[ True  True],[2882.9773 1587.515 ],30.34015030590909
[45739.41 39494.75],[0.92300266 1.6011795 ],[-1.5471517  1.6875793],[ 66645.99 101907.05],[ True  True],[-456.63934  536.473  ],89.85197425864293
[59155.836 40795.152],[-0.13669996  1.5733836 ],[-0.20116343  2.131679  ],[ 59709.418 102605.555],[ True  True],[ -78.91055 2889.6462 ],130.81551737840522
[161238.52   34024.477],[-2.2660859 -2.223834 ],[ 0.1956453 -2.2148318],[785659.3  159079.62],[ True  True],[2196.1516  -270.96872],138.38306380257114
[130024.82 116103.1 ],[-0.19044377 -2.0785394 ],[ 2.6744573 -0.5575823],[132389.88 471256.62],[ True  True],[ -154.62201 -1678.5474 ],363.4444860298376
[50503.715 42145.492],[-1.6679698 -1.3338869],[-0.53525466  2.5769854 ],[138633.3   85538.91],[ True  True],[2507.9497  869.5187],93.55194234880346
[138822.64   30999.803],[-0.6014877  -0.27785224],[-1.3122883  1.5794859],[164701.08   32204.143],[ True  True],[-779.29816  285.96967],131.91439419293184
[44235.53  33832.152],[-1.3667388 -1.278374 ],[ 0.8997732 -2.3037338],[92396.41  65453.137],[ True  True],[-672.1172  915.8919],77.40990372654701
[92478.56 72242.37],[-1.2816094  -0.68289495],[2.2422543 2.3692834],[179409.48  89752.21],[ True  True],[-782.7772  -364.59973],50.74323080487831
[43432.594 38912.637],[0.9475834 0.9910232],[-1.8184013  1.2865503],[64435.406 59637.24 ],[ True  True],[-796.4354 1326.5206],82.22667738654832
[50308.65  37332.555],[0.7417393  0.68244743],[-2.2128582  0.5320239],[64794.242 46368.773],[ True  True],[  79.17178 -360.76654],85.01459219896446
[68688.98 49381.26],[ 1.0698045 -1.2693658],[ 2.4289184 -0.8884101],[111890.41   94802.266],[ True  True],[ 396.57498 -181.59705],205.40165384168202
[50270.965 39282.035],[0.02883237 1.5526469 ],[0.9577886 2.3238118],[50291.863 96941.08 ],[ True  True],[-208.0387 2393.02  ],93.22357928762217
